"Year","Units","Grado urbanización","Municipio","Nacionalidad","GeoCode","Value"
2020,"Indicador 1","Ciudades","Gabias, Las","América del Sur","A18905",1.36
2020,"Indicador 1","Zona rural","Guájares, Los","América del Sur","A18906",0.19
2020,"Indicador 1","Zona rural","Valle del Zalabí","América del Sur","A18907",0.76
2020,"Indicador 1","Zona de densidad intermedia","Villamena","América del Sur","A18908",1.5
2020,"Indicador 1","Zona rural","Morelábor","América del Sur","A18909",0.17
2020,"Indicador 1","Zona rural","Pinar, El","América del Sur","A18910",0.46
2020,"Indicador 1","Zona de densidad intermedia","Vegas del Genil","América del Sur","A18911",1.55
2020,"Indicador 1","Zona rural","Cuevas del Campo","América del Sur","A18912",1.2
2020,"Indicador 1","Zona rural","Zagra","América del Sur","A18913",0
2020,"Indicador 1","Zona rural","Valderrubio","América del Sur","A18914",0.63
